age,workclass,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,wage
24,3,10,4,3,3,0,0,0,45,37,0
45,1,10,0,0,4,0,6497,0,35,37,0
24,3,9,4,13,1,1,0,0,40,37,0
26,0,10,4,12,3,0,0,0,40,37,0
46,3,10,2,11,0,1,0,0,45,37,1
54,5,15,2,9,0,1,5178,0,50,37,1
25,3,13,2,3,3,0,0,0,40,37,0
68,3,16,2,9,0,1,20051,0,55,37,1
19,3,10,4,0,3,1,0,0,28,37,0
54,5,13,0,4,1,1,27828,0,50,37,1
34,6,10,0,0,1,0,0,0,38,37,0
34,3,10,4,11,3,0,0,0,35,37,0
52,0,10,2,0,0,1,0,0,40,37,0
42,3,13,2,0,0,1,0,0,55,37,1
25,3,13,4,9,3,0,0,0,40,37,0
24,3,13,4,11,1,1,0,0,60,37,0
51,3,4,6,6,1,0,0,0,40,37,0
40,3,10,0,13,4,1,0,0,40,37,1
39,3,10,2,2,0,1,0,0,52,37,1
37,5,9,2,11,0,1,0,1902,45,37,1
19,3,9,4,7,3,1,0,0,30,37,0
54,1,14,0,9,1,0,0,0,40,37,0
58,5,13,2,4,0,1,0,0,25,37,0
49,0,9,2,2,0,1,0,0,40,37,1
41,3,10,5,3,1,0,0,0,40,37,0
70,3,5,6,0,4,0,0,0,25,37,0
27,3,9,2,5,0,1,0,0,80,37,1
37,6,10,2,7,0,1,0,0,40,37,0
38,3,9,5,8,4,0,0,0,30,37,0
52,5,11,2,3,0,1,0,0,40,37,0
61,3,14,2,11,0,1,0,0,60,37,1
38,3,7,2,2,0,1,0,0,40,37,0
58,6,9,0,7,3,1,0,0,40,37,0
22,3,10,4,9,1,1,0,0,12,37,0
22,3,9,4,2,3,1,0,0,55,37,0
48,5,10,5,11,4,0,0,0,50,37,0
34,3,14,2,9,0,1,0,0,43,17,1
27,3,9,4,13,1,1,0,0,70,37,0
34,3,7,2,11,0,1,0,0,25,37,0
24,3,9,4,3,2,1,4101,0,50,37,0
23,6,13,4,12,1,1,0,0,22,37,0
29,3,6,4,7,3,1,0,0,40,37,0
39,3,9,2,0,0,1,0,0,40,37,1
60,5,9,2,2,0,1,0,0,30,37,0
25,3,7,4,7,3,1,0,0,40,37,0
23,3,13,4,3,1,0,0,0,35,1,0
18,3,9,4,7,3,0,0,0,35,37,0
42,1,5,2,7,0,1,0,0,40,37,0
34,3,9,0,6,4,0,0,0,40,37,0
29,3,9,4,7,4,0,0,0,25,37,0
38,5,4,2,4,0,1,0,0,56,37,0
38,4,15,2,9,0,1,99999,0,50,37,1
24,3,13,4,3,1,0,0,0,50,37,0
19,3,10,4,7,4,0,2036,0,30,37,0
61,3,10,0,7,1,0,0,0,40,37,0
44,3,11,2,2,0,1,3411,0,40,37,0
51,1,4,2,13,0,1,0,0,40,37,0
28,5,9,0,2,3,1,0,0,40,37,0
28,3,7,2,2,1,1,0,0,60,37,1
59,1,14,0,9,1,0,0,0,40,37,0
60,4,10,2,3,0,1,0,0,40,37,1
36,3,9,2,4,5,0,0,0,40,37,0
50,1,6,4,7,1,1,0,0,40,37,0
25,6,13,4,3,1,1,0,0,40,37,0
37,5,10,2,3,0,1,0,0,60,37,0
33,3,13,2,3,0,1,0,0,55,37,1
22,3,9,2,8,5,0,4508,0,40,37,0
20,3,10,4,3,1,0,0,0,40,37,0
37,3,9,2,6,0,1,0,0,36,37,1
49,3,9,2,2,0,1,7298,0,40,37,1
23,3,11,2,5,0,1,0,0,40,37,0
36,3,13,0,9,4,0,0,213,40,37,0
26,3,10,4,3,4,0,0,0,40,37,0
52,3,7,6,7,4,0,0,0,40,37,0
62,1,13,2,9,5,0,0,0,40,37,0
30,3,8,4,2,1,1,0,0,40,37,0
49,1,10,2,10,0,1,0,0,40,37,0
42,3,9,2,2,0,1,0,0,50,37,0
33,3,9,0,7,4,0,0,0,32,37,0
47,6,13,2,9,0,1,0,0,60,37,1
36,6,15,0,9,3,0,0,0,40,28,0
42,3,9,5,11,1,0,0,0,30,37,0
27,0,12,4,13,1,1,0,0,40,37,0
36,3,9,2,7,5,0,0,0,40,33,0
33,3,3,3,13,4,1,0,0,20,7,0
53,0,16,2,9,0,1,15024,0,60,10,1
41,3,9,4,0,2,0,0,0,40,37,0
23,3,13,4,7,3,1,0,0,40,37,0
61,4,15,5,9,1,1,0,0,40,37,1
33,3,12,0,3,3,0,0,0,40,37,0
76,5,14,2,2,0,1,0,0,10,37,0
54,3,10,2,12,0,1,0,1977,18,37,1
21,3,9,4,9,4,0,0,0,55,37,0
58,1,5,0,7,1,0,0,0,40,37,0
36,3,9,0,0,4,0,0,0,40,37,0
24,3,13,4,3,3,0,0,0,40,37,0
29,3,9,2,2,0,1,0,0,40,37,0
27,3,10,4,11,1,0,0,0,40,37,0
30,3,13,4,9,3,0,0,0,37,37,0
28,6,9,2,10,0,1,0,0,40,37,0
19,3,9,1,0,5,0,0,0,25,37,0
31,3,7,2,6,0,1,0,0,40,37,0
24,3,13,4,11,3,1,0,0,40,37,0
22,3,13,4,11,3,1,0,0,40,37,0
28,3,13,2,9,0,1,0,0,50,37,0
28,3,10,0,0,4,1,0,0,40,37,0
25,3,10,4,11,3,1,0,0,40,37,0
39,3,13,2,12,0,1,0,0,50,37,1
36,3,4,2,4,0,1,0,0,35,24,0
63,3,10,0,7,1,1,0,0,40,37,0
57,3,2,3,7,1,1,0,0,35,37,0
52,3,13,0,9,4,0,0,1755,40,37,1
25,3,9,4,7,3,0,0,0,10,37,0
19,3,9,4,9,1,0,0,0,40,37,0
26,3,9,2,11,0,1,0,0,36,37,0
51,1,6,6,7,1,0,0,0,24,37,0
50,3,9,0,0,4,0,0,0,40,8,0
25,3,9,4,7,4,0,0,0,40,37,0
52,3,9,6,2,1,1,0,0,40,37,0
51,1,14,2,9,0,1,0,0,40,37,0
23,3,10,4,7,1,0,0,0,30,37,0
37,3,2,2,7,0,1,0,0,53,24,0
31,5,11,0,2,3,1,0,0,20,37,0
43,6,10,0,0,1,1,0,0,50,37,1
44,3,4,5,7,4,0,0,0,38,27,0
29,3,11,2,6,0,1,0,0,48,37,0
30,0,10,4,2,1,1,0,0,40,37,0
56,3,5,2,7,0,1,0,0,40,37,0
37,3,13,0,2,1,1,0,0,35,37,0
18,3,9,4,6,3,1,0,0,20,37,0
51,3,13,0,3,4,1,0,0,40,37,1
29,3,10,4,0,1,0,0,0,40,22,0
42,3,9,0,7,4,0,0,0,30,37,0
62,4,13,2,3,0,1,0,0,50,37,1
34,3,9,2,4,0,1,0,0,40,37,0
31,3,13,4,9,4,0,0,0,36,37,0
45,3,12,0,3,4,1,0,0,40,37,0
40,3,9,4,2,1,1,0,0,40,37,0
50,3,10,2,2,0,1,0,0,48,37,1
22,3,13,4,11,1,0,0,0,60,37,0
37,3,10,2,6,0,1,0,0,40,37,1
46,1,14,2,3,0,1,0,1902,45,37,1
38,3,13,0,3,1,1,0,0,40,37,0
29,3,9,4,13,3,1,0,0,40,37,0
38,3,16,2,3,5,0,99999,0,36,37,1
38,3,11,0,0,4,0,0,0,40,37,0
30,3,14,4,0,1,0,0,0,40,9,0
35,3,9,0,2,1,0,0,0,40,37,0
51,5,12,2,3,0,1,0,0,40,37,0
22,3,10,4,0,3,0,0,0,15,33,0
50,3,9,5,2,1,1,0,0,40,37,0
22,0,9,4,0,3,1,0,0,40,37,0
48,3,9,4,9,4,0,0,0,28,37,0
26,3,9,2,7,0,1,0,0,50,37,0
38,5,9,5,7,4,0,0,0,40,37,0
63,3,7,2,2,0,1,0,0,40,37,0
48,1,13,3,0,4,0,0,0,40,28,0
24,3,9,4,2,3,1,0,0,40,37,0
29,3,10,0,7,1,0,0,0,35,37,0
25,3,10,4,11,3,0,0,0,40,37,0
33,3,4,0,5,1,1,2176,0,35,37,0
32,5,9,2,2,0,1,0,0,45,37,0
21,3,9,4,7,2,0,0,0,30,37,0
20,3,10,4,2,3,1,0,0,40,37,0
36,3,10,0,2,1,0,0,0,37,37,0
42,3,9,4,7,1,0,0,0,24,37,0
33,1,13,4,9,1,1,0,0,60,37,0
33,3,9,0,0,2,0,0,0,40,37,0
30,6,10,2,0,0,1,0,0,40,37,1
26,3,9,2,2,0,1,0,0,40,24,0
26,3,3,2,5,0,1,0,0,40,24,0
40,1,9,3,4,3,1,0,0,40,37,0
31,3,11,2,6,0,1,0,0,40,3,0
56,5,14,0,11,4,0,0,2339,60,37,0
27,3,4,2,7,5,0,0,0,40,37,0
19,3,5,4,2,2,1,0,0,60,37,0
38,3,13,0,0,4,0,0,213,40,28,0
19,3,8,4,7,3,1,0,0,16,37,0
50,3,16,2,9,0,1,0,0,40,37,1
51,5,10,2,9,5,0,0,0,40,37,1
25,3,12,4,12,1,1,0,0,30,37,0
50,3,11,5,9,4,0,0,0,40,37,0
44,3,14,2,3,0,1,5178,0,40,37,1
36,3,14,4,9,3,1,0,0,40,37,0
40,0,9,0,0,1,0,0,0,52,37,0
50,3,10,0,0,4,0,0,0,40,37,0
41,3,7,2,10,0,1,0,0,55,37,0
19,3,9,4,11,3,1,0,0,3,37,0
63,3,9,6,7,2,0,0,0,40,37,0
31,3,10,4,3,4,1,0,0,60,37,0
35,3,13,2,11,0,1,0,0,40,37,1
24,3,9,5,7,1,1,0,0,40,37,0
35,5,14,2,11,0,1,0,0,40,37,1
47,5,9,2,3,0,1,0,0,25,37,0
39,3,6,2,2,0,1,0,0,60,37,1
44,3,11,2,0,0,1,7298,0,51,37,1
31,6,16,2,3,0,1,7298,0,55,37,1
48,5,9,2,11,5,0,0,0,50,37,0
36,5,4,2,2,0,1,0,0,35,37,0
43,3,10,4,0,1,1,0,0,25,37,0
23,3,10,4,11,3,1,0,0,25,37,0
72,3,11,6,0,1,0,0,0,30,37,0
46,3,9,2,11,0,1,0,0,65,37,1
46,3,12,6,9,4,0,0,0,27,37,0
49,3,6,4,7,4,0,0,0,38,27,0
66,4,9,2,11,0,1,0,1825,10,37,1
24,3,13,2,9,0,1,3908,0,40,37,0
52,3,14,0,9,1,0,0,0,40,37,1
60,3,9,2,7,0,1,0,0,40,37,0
29,3,13,4,0,1,0,0,0,35,37,0
32,3,9,2,2,0,1,0,0,40,37,0
38,3,3,2,7,0,1,0,0,75,24,0
59,3,10,5,11,1,1,14084,0,60,37,1
44,3,10,2,9,0,1,0,0,45,37,0
32,3,13,2,3,0,1,0,0,48,37,1
58,3,14,4,0,1,0,0,0,24,37,1
41,3,13,4,9,1,0,0,1741,40,37,0
41,1,13,0,9,4,0,0,0,35,37,0
47,3,9,2,11,0,1,0,0,40,37,0
61,4,9,0,11,1,1,0,0,55,37,0
35,3,10,2,2,0,1,4064,0,35,37,0
41,3,9,2,2,0,1,0,0,40,37,0
27,6,13,4,9,1,1,0,0,60,37,0
21,3,10,4,7,3,1,0,0,30,37,0
36,3,13,4,3,2,1,0,0,50,37,0
72,3,9,2,11,0,1,0,0,40,4,0
33,3,10,5,7,1,0,0,0,30,37,0
26,3,13,2,9,0,1,0,0,40,37,0
52,3,9,6,11,1,0,0,0,40,37,0
60,3,14,0,9,2,1,0,0,40,37,0
39,3,9,4,5,3,1,0,0,60,37,0
34,3,9,2,2,0,1,0,1672,40,37,0
39,3,9,2,2,0,1,0,0,40,37,0
43,3,10,2,10,0,1,0,0,40,37,0
48,5,9,2,2,0,1,0,0,40,37,1
63,3,13,2,10,0,1,0,0,40,28,1
20,3,10,4,7,3,1,0,0,20,37,0
43,3,5,5,5,4,0,0,0,50,37,0
40,6,16,4,9,1,0,0,0,40,37,0
21,3,10,4,9,3,0,0,0,25,37,0
46,1,15,2,9,0,1,0,0,40,28,1
33,3,9,0,7,4,1,0,0,40,37,0
53,3,13,4,3,3,1,0,0,40,4,0
46,3,9,0,6,1,1,0,0,20,37,0
82,3,10,6,7,1,1,0,0,3,37,0
62,5,13,0,9,1,0,0,0,40,37,1
29,3,13,4,11,1,1,0,0,50,37,1
45,6,10,2,0,0,1,0,0,40,37,0
45,3,13,0,11,1,0,0,0,46,37,0
47,3,12,2,9,0,1,0,0,40,37,1
36,3,12,2,3,5,0,0,0,50,37,1
41,3,9,0,6,3,1,0,0,40,37,0
49,5,13,6,11,4,0,0,0,40,37,0
48,3,14,2,3,0,1,0,0,40,37,0
47,3,9,2,9,0,1,5013,0,24,37,0
62,3,11,2,12,0,1,0,0,40,37,1
38,3,4,2,2,0,1,0,0,36,24,0
29,3,11,4,2,1,1,0,0,50,37,0
17,3,9,4,0,3,1,0,0,40,37,0
59,3,10,4,0,3,0,0,0,34,37,0
45,3,13,4,9,1,1,0,0,40,37,1
55,5,9,6,2,1,0,0,0,20,37,0
44,1,8,2,5,0,1,0,0,40,37,0
26,3,9,2,0,0,1,0,0,45,37,0
62,3,9,2,0,0,1,0,0,40,37,1
24,3,13,4,11,3,0,0,0,40,37,0
42,3,10,2,2,0,1,0,0,50,37,1
33,3,9,0,5,3,1,0,0,45,37,0
42,3,9,0,0,1,0,0,0,40,37,0
71,3,13,2,9,0,1,0,0,10,37,1
35,3,14,2,11,0,1,0,0,55,37,1
24,3,9,4,7,3,1,0,0,40,37,0
53,3,9,0,6,1,0,0,0,40,32,0
46,1,10,0,13,1,0,0,0,40,37,0
19,3,8,4,7,3,1,0,0,40,7,0
46,3,14,2,9,0,1,7688,0,46,37,1
24,3,13,4,12,1,0,0,0,20,37,0
35,3,9,0,0,4,0,0,0,38,37,0
26,3,11,4,12,3,1,0,0,40,37,0
42,3,10,0,11,4,1,0,0,40,37,0
42,5,12,2,11,0,1,0,0,40,37,0
19,3,9,4,5,1,1,0,0,40,37,0
40,3,9,0,2,2,0,0,0,40,38,0
21,3,9,4,2,3,1,0,0,40,37,0
46,1,14,0,9,4,0,0,0,43,37,0
25,3,11,4,2,3,1,0,0,40,37,0
40,3,12,2,11,0,1,7688,0,50,37,1
22,3,10,4,11,3,1,0,0,40,37,0
62,3,10,5,11,4,0,0,1617,33,37,0
47,3,3,3,6,2,1,0,0,40,24,0
43,4,12,2,3,0,1,0,0,50,37,0
21,3,10,4,5,3,1,0,0,48,37,0
44,5,13,2,3,0,1,0,0,60,37,0
28,5,13,2,11,5,0,0,0,5,37,0
21,3,10,4,11,3,1,0,0,10,37,0
38,3,9,0,7,1,0,0,0,35,37,0
23,3,13,2,7,0,1,0,0,20,37,0
62,3,13,2,9,0,1,3103,0,40,37,1
22,3,9,3,11,1,1,0,1719,40,37,0
40,3,10,0,13,1,0,0,0,40,37,0
38,3,13,2,9,0,1,0,0,40,37,1
25,1,10,2,7,0,1,0,0,40,37,0
46,3,7,2,7,5,0,0,0,35,37,1
43,1,14,2,9,0,1,0,0,40,37,1
70,3,9,2,4,0,1,0,0,30,37,0
55,3,12,0,0,4,0,0,0,40,37,0
37,3,10,2,2,0,1,0,0,40,15,0
45,5,13,0,9,1,1,0,0,45,9,0
54,1,10,0,2,4,1,0,0,42,37,0
41,3,9,2,2,0,1,0,0,40,37,0
44,3,4,2,5,0,1,0,0,50,37,0
39,3,9,4,7,3,0,0,0,38,37,0
28,3,13,2,12,0,1,0,0,40,37,1
35,3,13,2,9,0,1,0,0,45,37,1
43,3,10,4,3,1,0,0,0,50,37,0
38,0,10,0,3,4,0,0,0,38,37,0
67,5,9,2,13,0,1,6418,0,58,37,1
45,3,9,0,0,1,0,0,0,40,37,0
58,4,6,2,13,5,0,0,0,40,37,0
56,4,10,2,3,0,1,0,1672,40,37,0
20,3,10,4,4,3,1,0,0,10,37,0
17,3,7,4,8,3,0,0,0,20,37,0
43,5,10,2,4,0,1,0,0,84,37,0
27,3,10,2,6,0,1,0,0,45,37,0
44,0,11,0,12,1,1,0,0,40,37,0
31,3,10,2,11,0,1,0,0,40,37,0
31,3,9,2,6,0,1,0,0,45,37,0
44,3,12,0,9,1,0,0,0,40,37,1
42,1,13,4,0,1,0,99999,0,40,37,1
40,3,13,2,9,0,1,0,0,46,37,1
57,3,10,3,0,1,1,0,0,40,37,0
21,3,9,4,10,1,1,0,0,40,37,0
28,3,14,4,9,1,1,0,0,50,37,0
19,3,9,4,7,3,1,0,0,30,37,0
35,5,13,2,11,0,1,0,0,60,22,0
18,3,8,4,5,3,1,0,0,18,37,0
18,3,9,4,0,3,1,0,0,40,37,0
31,4,10,2,0,5,0,0,0,20,37,1
47,3,9,2,7,5,0,5013,0,40,37,0
17,3,8,4,0,3,1,0,0,40,37,0
31,1,12,4,10,4,1,0,0,40,37,0
35,3,9,4,7,1,1,0,0,30,37,0
39,0,9,4,1,1,1,0,0,50,37,0
27,3,13,4,11,1,1,0,0,45,37,0
67,3,9,2,0,0,1,0,0,35,37,0
38,3,10,2,12,0,1,0,0,45,37,0
24,3,10,4,11,3,0,0,0,17,37,0
66,6,15,2,3,0,1,20051,0,55,37,1
32,3,7,4,7,4,0,0,0,40,21,0
55,5,15,2,9,5,0,0,0,10,37,0
31,1,13,4,10,3,1,0,0,48,37,0
53,5,9,2,2,0,1,0,0,60,37,0
23,3,13,2,9,5,0,0,0,40,37,0
46,3,13,2,3,0,1,15024,0,55,37,1
20,3,9,4,0,1,0,0,0,40,37,0
24,3,9,4,7,1,1,0,0,35,37,0
42,3,10,2,2,0,1,0,0,40,37,0
19,3,9,4,0,4,0,0,0,40,37,0
38,3,13,2,3,0,1,0,0,40,37,0
49,3,13,0,0,1,1,0,0,40,37,0
58,3,4,2,6,0,1,2936,0,50,24,0
35,3,12,4,7,1,0,0,0,80,37,1
39,6,13,2,3,0,1,0,0,40,37,0
48,3,9,6,7,1,0,0,0,44,37,0
23,3,10,4,7,3,0,0,0,10,37,0
58,3,5,2,5,0,1,0,0,40,37,0
27,1,9,4,4,3,1,0,0,40,37,0
41,3,12,2,4,0,1,0,0,40,37,0
36,3,9,2,6,0,1,0,0,44,37,1
60,3,10,2,11,0,1,0,0,40,37,0
28,3,10,2,6,0,1,0,0,45,37,0
45,3,9,2,2,0,1,0,0,40,37,0
17,3,6,4,7,3,0,0,0,15,37,0
30,3,10,2,12,0,1,0,0,50,37,1
51,5,10,2,9,5,0,0,2057,60,1,0
40,3,11,2,3,0,1,7688,0,44,37,1
32,3,10,2,11,0,1,4386,0,50,37,0
52,3,13,3,7,1,1,0,0,50,37,0
21,3,9,4,11,1,0,0,0,33,37,0
56,3,9,2,6,0,1,0,0,40,37,0
52,0,13,2,9,0,1,0,0,40,37,1
25,3,10,4,7,1,1,0,0,25,37,0
35,1,9,2,7,0,1,0,0,40,37,0
49,3,4,2,2,0,1,0,0,40,37,0
18,3,9,4,6,3,0,0,0,40,37,0
42,5,15,2,9,0,1,0,1902,50,37,1
21,3,5,4,7,4,1,0,0,35,24,0
23,3,9,4,6,1,1,0,0,35,37,0
23,3,9,4,11,1,1,0,0,48,37,0
47,3,13,2,11,0,1,0,0,60,37,1
36,3,11,0,3,3,1,0,0,50,37,0
40,3,10,2,2,0,1,5178,0,40,37,1
29,3,9,2,6,0,1,0,0,40,37,0
36,3,10,5,3,1,1,0,0,60,37,1
32,3,9,0,5,1,1,0,0,40,37,0
42,3,10,2,2,0,1,0,0,89,37,1
28,3,13,4,3,1,0,0,0,40,37,0
33,1,12,0,10,1,1,0,0,56,37,0
37,0,10,2,9,0,1,0,0,40,37,1
47,3,9,4,3,3,0,0,0,50,4,0
31,3,9,4,7,3,1,0,0,40,37,0
28,3,11,4,5,1,1,0,0,45,37,0
38,6,10,0,10,4,0,0,0,40,37,1
30,3,13,4,9,1,0,0,0,99,37,0
56,3,9,2,5,0,1,0,0,40,37,0
34,3,9,2,2,0,1,0,0,40,25,0
49,3,9,2,3,0,1,7688,0,55,37,1
44,3,9,2,2,0,1,0,0,40,37,1
29,3,10,2,7,0,1,0,0,35,37,0
27,3,9,4,0,4,0,0,0,40,37,0
44,3,9,0,6,3,0,0,0,40,37,0
48,3,9,0,7,4,0,0,0,40,37,0
26,3,9,4,7,2,0,0,0,40,37,0
46,3,13,0,6,4,0,0,0,40,31,0
43,3,9,2,11,0,1,0,0,45,37,0
59,5,10,2,2,0,1,0,0,20,37,1
38,0,9,0,9,4,0,0,0,40,37,0
22,3,13,4,5,3,0,0,0,15,37,0
27,3,3,4,4,4,1,0,0,50,37,0
24,3,9,0,10,3,0,0,1762,40,37,0
42,3,10,2,6,0,1,0,0,40,37,0
40,3,9,4,4,1,1,0,0,55,37,0
33,5,9,4,9,1,1,0,0,40,37,0
53,1,3,2,7,0,1,0,0,40,24,0
25,3,8,4,2,1,1,0,0,40,37,0
55,3,9,0,0,1,0,0,0,40,37,0
27,1,10,4,3,4,1,0,0,40,37,0
43,3,10,2,11,0,1,7688,0,40,37,1
62,6,12,6,9,1,0,0,0,40,37,0
23,3,9,0,5,3,1,0,0,44,37,0
41,3,9,2,2,0,1,0,0,40,37,1
30,3,10,4,2,1,1,0,0,40,37,1
29,3,13,4,0,1,0,0,0,45,37,0
60,1,9,2,7,0,1,0,0,40,37,0
47,3,10,2,7,0,1,0,0,47,37,1
43,3,9,2,7,5,0,0,0,35,37,0
37,6,13,4,0,1,1,0,0,38,37,0
51,3,9,5,7,1,0,0,0,37,37,0
31,3,9,2,3,0,1,0,0,40,37,1
29,3,6,2,4,5,0,0,0,40,37,0
28,3,5,2,6,0,1,0,0,42,37,0
42,3,4,0,11,1,0,0,0,40,37,0
20,3,10,4,3,3,0,0,0,20,37,0
61,5,2,2,2,0,1,0,0,20,37,0
48,6,13,2,3,0,1,0,0,40,37,1
17,3,7,4,11,3,0,0,0,40,37,0
21,3,10,4,7,3,1,0,0,30,37,0
30,3,10,0,6,4,1,0,0,50,37,0
40,3,9,3,7,3,0,0,0,40,37,0
31,1,14,4,9,1,1,0,0,43,37,0
56,3,10,2,2,0,1,0,0,50,37,0
39,3,13,2,3,0,1,0,0,50,37,1
48,3,10,2,11,0,1,3103,0,40,37,1
20,3,9,2,9,3,0,0,0,36,37,0
21,3,10,2,0,0,1,0,0,40,37,0
20,3,9,4,0,3,0,0,0,40,37,0
57,3,9,2,2,0,1,0,0,40,37,0
19,3,9,4,5,3,1,0,0,40,37,0
21,6,10,4,3,3,0,0,0,20,37,0
37,4,12,2,11,0,1,0,1887,40,37,1
46,1,9,2,2,0,1,0,1902,40,37,0
48,4,15,2,9,0,1,15024,0,40,37,1
57,3,9,4,3,1,1,0,0,40,37,0
40,3,10,2,6,0,1,0,0,50,37,1
34,3,10,2,6,0,1,7298,0,40,37,1
45,3,13,2,9,0,1,0,0,60,37,1
37,5,13,2,9,0,1,0,0,40,37,1
51,3,9,2,12,0,1,0,0,40,37,0
34,3,13,2,9,0,1,0,0,40,37,1
62,3,9,2,3,0,1,0,0,12,37,0
22,3,9,4,5,3,1,0,0,16,37,0
22,3,10,4,0,2,0,0,0,30,21,0
51,6,9,2,0,5,0,3908,0,40,37,0
33,3,13,4,9,1,1,0,0,50,37,1
53,3,9,0,6,4,1,0,0,32,37,0
31,5,9,2,3,0,1,0,0,40,37,1
25,3,9,2,0,5,0,0,0,50,37,1
31,6,13,0,9,1,1,0,0,40,37,0
28,3,11,2,9,5,0,0,0,5,37,0
30,5,14,0,9,1,1,0,0,50,17,1
68,3,9,2,7,0,1,1409,0,15,37,0
37,5,15,2,9,0,1,0,0,50,37,1
21,3,10,4,0,1,1,0,2001,45,37,0
24,3,12,4,6,3,1,0,0,20,37,0
41,3,10,2,3,0,1,0,0,60,37,1
24,3,10,4,3,3,1,0,0,40,37,0
41,5,15,2,9,0,1,0,0,50,37,1
23,3,10,4,3,3,1,0,0,40,37,0
26,3,9,0,0,3,0,0,0,40,37,0
27,3,13,0,3,1,1,0,0,52,37,0
22,0,13,4,9,3,1,0,0,10,37,0
30,3,9,4,10,3,1,0,0,70,37,0
27,6,13,4,9,1,0,4101,0,40,37,0
26,3,10,4,7,2,1,0,0,40,25,0
38,3,13,3,9,1,0,0,0,40,37,0
37,3,11,4,7,1,1,0,0,40,37,0
62,3,4,2,7,0,1,0,0,40,37,0
33,3,13,2,9,0,1,0,0,40,37,1
38,4,10,2,2,0,1,0,0,38,37,0
44,3,7,0,11,4,0,0,0,44,37,0
29,3,10,2,9,0,1,0,0,40,37,0
59,3,10,6,0,1,0,0,0,35,37,0
42,3,10,2,13,0,1,0,0,57,37,0
52,5,9,0,4,1,1,0,0,25,37,0
62,3,13,2,6,0,1,0,0,40,37,0
28,4,9,2,2,0,1,0,0,50,37,0
30,6,11,2,10,0,1,0,0,40,37,0
50,0,10,2,3,0,1,0,0,40,37,1
27,3,11,2,4,0,1,0,0,40,37,0
54,3,14,2,3,0,1,0,0,45,37,1
34,4,10,2,4,0,1,0,0,72,37,0
36,3,10,2,3,0,1,0,0,65,37,0
41,4,14,2,3,0,1,0,0,50,37,1
24,6,10,4,12,1,1,0,0,50,37,0
40,3,9,2,6,0,1,0,0,40,37,0
59,3,9,2,6,0,1,0,0,30,20,0
45,3,9,4,6,4,0,0,0,40,1,0
43,3,10,0,12,4,0,0,0,30,37,0
50,3,9,2,9,0,1,0,0,40,37,1
41,3,9,2,6,0,1,0,0,45,37,0
38,3,9,2,0,5,0,0,0,60,37,0
42,3,12,2,3,0,1,0,0,60,37,1
48,3,9,2,7,0,1,0,0,40,24,1
31,3,11,0,12,4,0,0,0,40,37,0
25,3,9,4,6,4,1,0,0,40,37,0
53,3,10,2,2,0,1,0,0,50,37,1
26,3,10,4,13,1,1,0,0,50,37,0
47,3,10,2,3,0,1,0,0,40,37,1
38,3,9,3,2,4,0,0,0,40,37,0
46,3,16,2,9,0,1,0,0,60,37,1
36,3,9,2,5,0,1,0,0,40,37,0
